"Disclaimer - The Data provided in the adjusted 52 week high and adjusted 52 week low columns  are adjusted for corporate actions (bonus, splits & rights).For actual (unadjusted) 52 week high & low prices, kindly refer bhavcopy."
"Effective for 28-Jan-2020"
"SYMBOL","SERIES","Adjusted 52_Week_High","52_Week_High_Date","Adjusted 52_Week_Low","52_Week_Low_DT"
"20MICRONS","EQ","     44.15","29-MAY-2019","     30.70","23-AUG-2019"
"21STCENMGM","EQ","     24.95","22-APR-2019","     12.00","20-SEP-2019"
"3IINFOTECH","EQ","      4.55","22-APR-2019","      1.55","23-AUG-2019"
"3MINDIA","EQ","  25439.95","16-APR-2019","  16749.95","16-SEP-2019"
"3PLAND","EQ","     13.70","04-FEB-2019","      5.25","22-AUG-2019"
"5PAISA","EQ","    270.00","29-MAY-2019","    120.80","23-AUG-2019"
"63MOONS","EQ","    184.75","10-MAY-2019","     70.85","18-FEB-2019"
"8KMILES","BZ","    142.30","18-APR-2019","     27.95","27-JAN-2020"
"A2ZINFRA","EQ","     19.70","19-MAR-2019","      7.05","27-JAN-2020"
"AARTIDRUGS","EQ","    707.00","11-MAR-2019","    427.00","05-AUG-2019"
"AARTIIND","EQ","    949.50","28-MAY-2019","    650.00","20-FEB-2019"
"AARVEEDEN","EQ","     27.50","30-APR-2019","     10.65","19-DEC-2019"
"AAVAS","EQ","   2101.00","09-JAN-2020","    811.00","01-FEB-2019"
"ABAN","EQ","     78.00","12-MAR-2019","     21.45","26-AUG-2019"
"ABB","EQ","   1670.00","05-JUL-2019","   1200.00","26-DEC-2019"
"ABBOTINDIA","EQ","  13470.05","17-DEC-2019","   7151.20","22-FEB-2019"
"ABCAPITAL","EQ","    115.35","13-JAN-2020","     75.50","17-OCT-2019"
"ABFRL","EQ","    249.70","02-JAN-2020","    179.70","16-MAY-2019"
"ABMINTLTD","BE","     16.45","29-JAN-2019","     13.30","05-SEP-2019"
"ABSLBANETF","EQ","    330.00","19-NOV-2019","    275.19","05-NOV-2019"
"ABSLNN50ET","EQ","    340.00","13-JAN-2020","    250.10","08-MAR-2019"
"ACC","EQ","   1769.05","28-MAY-2019","   1326.00","18-FEB-2019"
